title,url,source_type,source_name,published_date,category,sub_issue,gov_level,area_type,service_type,province,sentiment,sentiment_score,pain_points,demographics,has_abandonment_signal,has_bottleneck
Pengakuan Pengecer Urus Naik Kasta Jadi Sub Pangkalan buat Jual Gas 3 Kg,https://finance.detik.com/energi/d-7767935/pengakuan-pengecer-urus-naik-kasta-jadi-sub-pangkalan-buat-jual-gas-3-kg,news_site,detik.com,"Jumat, 07 Feb 2025 16:12 WIB",kesejahteraan,kelengkapan_data_rs,daerah,umum,digital,Bali,positif,1.0,,,0,0
Wabup OKU Minta OPD Sinergi Entaskan Kemiskinan Lewat Program 3 Juta Rumah,https://www.detik.com/sumbagsel/berita/d-8608149/wabup-oku-minta-opd-sinergi-entaskan-kemiskinan-lewat-program-3-juta-rumah,news_site,detik.com,"Jumat, 07 Agu 2026 22:00 WIB",kesejahteraan,bansos_adaptif,daerah,umum,tidak_teridentifikasi,Sumatera Selatan,netral,0.0,,,0,0
"Pansus DPRD DKI Bakal Sidak 200 Vendor Pengelola Sampah, Cek Dibuang ke Mana",https://news.detik.com/berita/d-8609216/pansus-dprd-dki-bakal-sidak-200-vendor-pengelola-sampah-cek-dibuang-ke-mana,news_site,detik.com,"Jumat, 07 Agu 2026 21:36 WIB",kesehatan,kelengkapan_data_rs,daerah,umum,umum,DKI Jakarta,negatif,-1.0,,ibu_anak,0,0
Pemkot Kendari Terima Trofi detiktimur Awards Berkat Inovasi Digitalisasi,https://www.detik.com/sulsel/berita/d-8609102/pemkot-kendari-terima-trofi-detiktimur-awards-berkat-inovasi-digitalisasi,news_site,detik.com,"Jumat, 07 Agu 2026 20:23 WIB",penerimaan_negara,penerimaan_pajak,daerah,3T,digital,DKI Jakarta,positif,1.0,,,1,0
Refleksi 50 Tahun Bahlil Lahadalia: Lompatan yang Lampaui Ketidakmungkinan,https://news.detik.com/adv-nhl-detikcom/d-8608804/refleksi-50-tahun-bahlil-lahadalia-lompatan-yang-lampaui-ketidakmungkinan,news_site,detik.com,"Jumat, 07 Agu 2026 16:50 WIB",kesehatan,kelengkapan_data_rs,pusat,3T,tidak_teridentifikasi,Maluku,positif,0.333,,ibu_anak,0,0
Kemenkes Minta TEP Petakan Persoalan Kesehatan di Kawasan Transmigrasi,https://news.detik.com/berita/d-8608732/kemenkes-minta-tep-petakan-persoalan-kesehatan-di-kawasan-transmigrasi,news_site,detik.com,"Jumat, 07 Agu 2026 16:21 WIB",kesehatan,rs_berkualitas,pusat,umum,tidak_teridentifikasi,DKI Jakarta,positif,0.333,,lansia; masyarakat_3t; ibu_anak,0,0
Surabaya Buktikan Satu Data NIK Pacu Pertumbuhan Ekonomi Daerah,https://news.detik.com/berita/d-8608709/surabaya-buktikan-satu-data-nik-pacu-pertumbuhan-ekonomi-daerah,news_site,detik.com,"Jumat, 07 Agu 2026 16:02 WIB",kesehatan,rs_berkualitas,daerah,3T,digital,Jawa Timur,positif,1.0,,,0,0
"Panas Pasien Vs Nakes 'Saling Serang' di Medsos, Apa yang Bisa Dibenahi?",https://health.detik.com/berita-detikhealth/d-8608370/panas-pasien-vs-nakes-saling-serang-di-medsos-apa-yang-bisa-dibenahi,news_site,detik.com,"Jumat, 07 Agu 2026 13:04 WIB",kesehatan,rs_berkualitas,daerah,umum,digital,Bali,positif,0.6,,,0,1
IDI Sumsel Sesalkan Komentar Nirempati Dokter ke Pasien BPJS,https://www.detik.com/sumbagsel/berita/d-8608076/idi-sumsel-sesalkan-komentar-nirempati-dokter-ke-pasien-bpjs,news_site,detik.com,"Jumat, 07 Agu 2026 13:00 WIB",kesehatan,rs_berkualitas,daerah,umum,tidak_teridentifikasi,Sumatera Selatan,positif,1.0,,,0,0
"Kemenkes Benarkan Viral Pasien BPJS Nunggu 8 Jam di RSCM, Ruang HCU Terbatas",https://health.detik.com/berita-detikhealth/d-8608271/kemenkes-benarkan-viral-pasien-bpjs-nunggu-8-jam-di-rscm-ruang-hcu-terbatas,news_site,detik.com,"Jumat, 07 Agu 2026 12:07 WIB",kesehatan,rs_berkualitas,pusat,umum,tidak_teridentifikasi,,netral,0.0,,,0,0
Kemenkes Beberkan Alasan Yurizal Harus Menunggu 8 Jam di IGD RSCM,https://www.detik.com/bali/berita/d-8607966/kemenkes-beberkan-alasan-yurizal-harus-menunggu-8-jam-di-igd-rscm,news_site,detik.com,"Jumat, 07 Agu 2026 08:38 WIB",kesehatan,rs_berkualitas,pusat,umum,tidak_teridentifikasi,,positif,1.0,,,0,1
Kasus Nakes Hina Pasien BPJS: 10 Nama Dikantongi-Burnout Bukan Pembenaran,https://www.detik.com/bali/berita/d-8607931/kasus-nakes-hina-pasien-bpjs-10-nama-dikantongi-burnout-bukan-pembenaran,news_site,detik.com,"Jumat, 07 Agu 2026 07:58 WIB",kesehatan,rs_berkualitas,daerah,umum,tidak_teridentifikasi,DKI Jakarta,negatif,-0.273,,ibu_anak,0,1
